 ,A8m_R,A8dl_R,A9l_R,A6dl_R,A6m_R,A9m_R,A10m_R,46d_R,IFJ_R,A46_R,46v_R,A8vl_R,A6vl_R,A10l_R,A44d_R,IFS_R,A45c_R,A45r_R,A44op_R,A44v_R,A14m_R,47o_R,A11l_R,A11m_R,A13_R,47l_R,A4hf_R,A6cdl_R,A4ul_R,A4t_R,A4tl_R,A6cvl_R,3ll_R,A4ll_R,A38m_R,42_R,TE1.2_R,A22c_R,A38l_R,A22r_R,A21c_R,A21r_R,A37dl_R,aSTS_R,A20iv_R,A37elv_R,A20r_R,A20il_R,A37vl_R,A20cl_R,A20cv_R,A20rv_R,A37mv_R,A37lv_R,36r_R,36c_R,TL_R,34_R,TI_R,TH_R,rpSTS_R,cpSTS_R,A7r_R,A7c_R,A5l_R,A7pc_R,A7ip_R,A39c_R,A39rd_R,A40rd_R,A40c_R,A39rv_R,A40rv_R,A7m_R,A5m_R,dmPOS_R,A31_R,3ulhf_R,3tonIa_R,A2_R,3tru_R,G_R,vIa_R,dIa_R,vIg_R,dIg_R,dId_R,A23d_R,A24rv_R,A32p_R,A23v_R,A24cd_R,A23c_R,A32sg_R,cLinG_R,rCunG_R,cCunG_R,rLinG_R,vmPOS_R,mOccG_R,MT+_R,OPC_R,iOccG_R,msOccG_R,lsOccG_R,A8m_L,A8dl_L,A9l_L,A6dl_L,A6m_L,A9m_L,A10m_L,46d_L,IFJ_L,A46_L,46v_L,A8vl_L,A6vl_L,A10l_L,A44d_L,IFS_L,A45c_L,A45r_L,A44op_L,A44v_L,A14m_L,47o_L,A11l_L,A11m_L,A13_L,47l_L,A4hf_L,A6cdl_L,A4ul_L,A4t_L,A4tl_L,A6cvl_L,3ll_L,A4ll_L,A38m_L,42_L,TE1.2_L,A22c_L,A38l_L,A22r_L,A21c_L,A21r_L,A37dl_L,aSTS_L,A20iv_L,A37elv_L,A20r_L,A20il_L,A37vl_L,A20cl_L,A20cv_L,A20rv_L,A37mv_L,A37lv_L,36r_L,36c_L,TL_L,34_L,TI_L,TH_L,rpSTS_L,cpSTS_L,A7r_L,A7c_L,A5l_L,A7pc_L,A7ip_L,A39c_L,A39rd_L,A40rd_L,A40c_L,A39rv_L,A40rv_L,A7m_L,A5m_L,dmPOS_L,A31_L,3ulhf_L,3tonIa_L,A2_L,3tru_L,G_L,vIa_L,dIa_L,vIg_L,dIg_L,dId_L,A23d_L,A24rv_L,A32p_L,A23v_L,A24cd_L,A23c_L,A32sg_L,cLinG_L,rCunG_L,cCunG_L,rLinG_L,vmPOS_L,mOccG_L,MT+_L,OPC_L,iOccG_L,msOccG_L,lsOccG_L,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area
sub-01000008V01,2803,2300,3251,2122,2193,3169,3314,2556,1536,3526,3249,2410,2374,3174,1311,875,1161,1134,2101,680,1988,1341,3010,2592,1963,1622,2086,3207,1427,1414,1553,1983,1304,1525,2773,1281,2340,2202,2407,781,2628,3582,3603,3679,654,730,1128,2084,1179,891,1433,2319,2650,2687,445,351,514,363,506,356,1313,1238,1387,1460,999,1117,898,4033,4054,3805,4606,5706,3110,1879,2002,3677,2858,2436,2215,2090,1286,1102,804,899,1022,944,1061,1508,1150,1067,1132,1139,2025,1109,1860,1333,1198,1924,1877,1585,2634,1833,2216,2026,2732,2537,3646,3153,2288,2439,2999,3436,3244,2524,2552,3260,2572,2134,3040,943,949,851,1335,1929,1056,1481,1574,2888,1850,2931,2056,3811,2324,1532,1278,1934,2463,975,1438,2784,1671,3080,2224,1606,2276,1622,2184,2393,2483,646,951,1629,1354,986,1160,1451,3308,3113,3576,538,365,650,549,387,393,1676,1813,1114,1392,2141,1824,1286,3051,3342,5026,4564,6828,2806,1990,2187,2570,2336,2949,2313,1658,1398,1195,842,997,1043,1020,1320,1550,407,1294,1382,964,1912,1621,653,1213,918,1503,1747,2087,2086,2251,3058,1503,1924,7546.5,2734.9,4603.8,1887.1,4112.3,1453.1,500.8,7549.8,2841.3,4633.7,1680.7,3764.5,1564.9,598.2
sub-01000018V01,2422,1685,3134,2123,1976,2608,2828,2872,1341,2974,2927,1836,1868,2540,1000,959,1393,1575,2105,686,1183,1638,3223,1921,1714,1561,2470,3016,1848,1468,1715,2237,1380,1950,2725,1558,2306,2191,2479,876,2728,3826,2819,4492,401,610,1144,1319,1530,1151,1447,2604,2844,3449,789,699,848,321,774,504,1440,1081,1492,1628,1137,861,734,5134,3434,3311,4310,4450,3752,1351,1938,3029,2519,1975,2651,1997,1307,966,624,1051,929,1065,962,1363,669,888,1279,943,1838,1048,1824,1585,1442,2618,2504,2199,3306,2061,2726,1582,2103,1919,2560,2761,1837,2094,2195,3368,3307,2335,2796,3494,2409,1404,2304,966,1525,1233,1597,2210,1033,1310,1623,2580,1743,2447,1765,3081,2008,1628,1050,1926,2128,1178,1495,2385,1769,2823,2454,1557,2237,1270,3267,1487,2890,535,509,1530,1234,1489,1572,1348,3393,3749,3375,633,597,659,901,300,385,1614,1509,1119,1364,2237,1701,1134,2618,3473,3209,4966,5893,2997,1743,2134,2649,2677,1980,2433,1537,1444,1164,765,935,1088,1120,1247,1679,454,977,1354,1235,1951,1312,1754,1730,1545,2098,2703,2356,3112,1932,2684,1389,1697,6226.1,3224.1,4178.3,1961.6,4088.9,1443.6,312.1,6349.1,3522.3,4391.4,1649.6,4153.4,1447.1,692.1
sub-01000022V01,3777,2703,3659,2586,3424,4330,3696,3965,2001,3223,4313,3382,2473,3565,1937,1286,1689,1876,2463,1061,1956,1815,4571,2472,2866,1921,2321,3077,2457,1749,2061,1984,1775,2417,2978,1314,2732,2321,2715,622,2977,3515,2388,4605,574,705,1511,1767,998,1076,2138,4145,3343,3122,727,838,700,659,389,826,1168,1065,2143,2285,1319,1456,1127,4414,4223,4740,4820,4789,4189,2071,2279,4984,4032,2364,2447,3136,1802,940,968,1099,1312,1376,1062,1795,1320,832,1548,662,2233,1061,2058,2474,1918,3578,3432,3201,2995,2690,2962,2228,3685,2591,4050,3228,2701,2911,2737,4231,3080,2646,3248,3794,2967,1842,3881,1319,1942,1218,1517,2448,1930,2357,1943,3744,2643,4052,2481,4085,2733,1872,1030,2012,3145,1514,1633,3325,1510,2907,2025,1937,2728,1969,3769,2229,2927,606,1391,1586,1301,1368,2124,1824,4520,3650,3622,719,711,747,1001,222,677,1203,1575,1605,2027,2363,2439,1841,4481,5375,4401,4244,6366,2733,2255,3172,3963,3654,2339,2648,1704,1937,1273,722,1004,1354,1518,1739,2046,1361,1734,1544,1787,2689,1934,1775,2502,1623,3289,3288,2782,2720,2657,3337,1507,2684,8745.6,3645.0,5208.5,2141.8,4369.9,1834.3,418.0,9082.4,3866.9,5423.6,1876.0,4753.6,2056.2,532.2
sub-01000027V01,2468,2112,3216,1696,2189,3076,3504,3347,1966,3869,3280,2918,1593,3625,1277,1118,1351,1713,2294,718,1580,1823,3678,2693,1932,1729,2354,3733,2311,2388,1749,2267,1872,2370,2585,1357,2323,2438,2597,900,2723,3107,3043,4698,414,521,1613,1578,996,922,1450,2476,3259,2943,549,482,846,481,651,567,1049,1394,1825,1520,1362,1696,963,5032,3997,3343,3890,4927,3845,1455,1710,3387,2896,2425,2487,2099,1930,882,749,852,930,1280,1146,1421,879,1066,1222,866,1806,978,1482,2394,1900,2908,3027,2552,3041,2397,2659,1744,2015,2226,2624,3157,1857,2581,2636,3877,3882,3265,2946,4517,2834,1965,2402,1388,1239,1091,1478,1847,1285,2035,1610,3434,2037,2809,1988,3442,2143,2321,1290,1661,3461,1576,1740,3288,1127,3206,1589,1758,2316,1713,2387,2894,2810,615,1575,1621,850,1929,1525,1750,3208,3482,3694,571,372,816,800,254,589,1253,1214,946,1586,1917,2116,1135,3751,3420,3223,3228,6316,2116,1697,2213,2576,2205,3266,2900,2172,2024,1242,686,1030,916,1224,1396,1336,783,1468,1426,1444,2346,1280,1617,2044,1796,2356,2843,2495,3737,2204,3085,1547,1926,6964.6,3605.6,4930.1,1956.8,4271.5,1549.6,445.4,7105.2,3667.4,5075.6,1501.9,4362.2,1611.4,693.9
sub-01000032V01,2227,1425,2843,1852,2488,2791,2566,3555,1845,2867,3122,2667,2215,2736,1407,766,1190,1591,2308,971,1446,1619,3584,2802,2885,1954,1588,3876,1768,1779,1732,1446,1581,2138,2967,1267,2130,2258,2657,710,2654,4260,2314,3599,1017,553,1498,2172,662,1145,2979,3467,2725,2940,567,447,508,609,530,351,1188,1493,1697,1897,1335,1158,1172,4591,3968,3794,3734,3457,3767,1498,2099,4515,2973,2042,2550,1834,1594,921,789,909,1072,1087,1310,1327,1695,1042,1037,962,1833,1287,1402,2436,1885,2699,3050,2304,1943,2301,2082,2334,2388,2475,2671,2989,2158,2201,2808,3878,3983,3106,2781,3764,3557,2128,2678,1178,1610,926,1524,1955,1085,1689,1731,3088,1909,3276,1921,2592,2214,1564,1103,1709,1722,942,1284,3472,1764,3263,1932,1835,2690,992,3203,1667,2823,734,990,1740,1573,1475,1558,2646,3748,2572,3470,495,502,500,877,166,491,1148,992,1136,1464,2034,1760,1445,3378,3219,3989,3648,5483,2978,1707,2042,3353,3006,2296,2529,1588,1447,1190,689,1091,1174,1151,1511,2006,583,1219,1420,1227,2152,1997,1215,2372,1974,2279,3337,2888,2421,2632,2655,1819,1406,7703.6,3448.5,4339.2,2050.3,3934.0,1604.7,305.4,7534.2,3443.7,4712.8,1776.7,4215.0,1555.7,496.7
sub-01000033V01,2569,2010,3438,1989,2857,3025,3545,4539,2100,4035,4363,3194,1828,3478,989,1103,1359,2137,2221,692,1889,1998,4012,2710,2290,1826,2719,3813,2610,1579,2008,2549,1753,2120,3269,1435,3234,2789,2951,988,3090,4560,3231,5538,966,582,2115,2146,925,1181,2115,5018,3176,3686,620,620,630,621,663,488,1462,1165,1564,1749,1783,2149,1715,5341,4234,4937,5522,5401,4233,1547,2448,3907,3269,2343,2570,2123,1533,1178,933,1137,1062,1140,1040,1701,1584,1082,1134,1000,1801,1256,2128,2344,1630,3250,2685,2358,2951,2646,2918,1912,2267,2538,3275,3473,2130,2736,3231,4600,5131,2926,3379,4129,3297,2289,3316,1005,1541,1046,1604,1917,1307,1723,2185,2997,1875,3484,2234,4459,2981,1916,1366,1818,2438,1256,1753,3242,2170,3765,2550,2141,3505,1847,4283,2552,3993,804,1215,2200,1388,1708,2263,2269,3673,3163,3316,679,719,885,777,309,651,1582,2185,1498,1817,1989,2536,1680,3044,4065,4452,4970,7154,3696,2317,2488,2810,2843,2884,2910,2346,1820,1353,933,1171,1227,1289,1402,2020,591,1417,1504,1479,2281,1804,1556,2156,1666,2808,3024,2377,3416,2719,2376,1495,1651,8375.5,3797.6,5140.3,1987.2,4091.8,2008.7,509.7,7153.5,3862.1,5288.3,1864.7,4287.3,1891.1,713.0
sub-01000042V01,2425,1819,2698,1894,2124,3054,3343,2373,2393,2771,2857,2460,2076,2896,1375,967,1146,1311,1861,740,1801,1785,3703,2727,1887,1995,2443,3353,1825,1553,1503,2266,1334,2005,2793,1054,2105,1884,2362,798,2317,3335,3175,4024,580,516,1636,1662,1432,837,2160,3689,2573,2796,864,618,816,516,486,495,1265,892,1742,1750,1439,1315,1129,5570,3611,3752,4093,3882,3912,1804,2321,3119,3404,2295,2048,2435,1640,875,1128,857,900,959,1144,1284,791,894,1185,861,1570,820,1761,1711,1311,2948,2312,2995,3348,2013,2367,2089,2457,1837,2895,2492,2121,2402,1958,3054,2378,2765,2326,3402,2268,1830,2643,1196,1261,952,1362,1648,943,1732,1580,2939,1817,3319,1932,3245,2443,1966,1083,1732,3135,1234,1729,2928,1378,2530,2021,1501,2440,1355,2399,2094,2360,837,1029,1896,1344,1650,1692,1677,3975,2835,2983,1237,688,818,863,299,535,1362,1690,1314,1621,2179,1576,994,3647,3854,3410,4233,6933,2647,1826,2206,2986,2877,2454,2162,2375,1745,1127,833,927,978,867,1275,1802,1100,1324,1353,1320,1934,1816,1405,1814,1384,2476,2253,2758,3102,2343,2418,1443,2136,7144.9,3771.0,4840.3,2050.2,3832.6,1652.7,422.0,7214.0,3742.8,4894.0,1754.6,3926.4,1686.0,620.2
sub-01000051V01,2034,2008,2878,1814,2091,2329,2586,2285,1470,2519,2060,2124,1281,2459,863,786,1139,1054,1807,595,1166,1330,2480,2253,1625,1517,2553,1951,1430,1202,1413,1868,1382,1612,2323,1259,2270,2141,2145,852,2538,3470,2268,4493,656,562,956,1388,803,988,2300,2288,2328,2494,426,564,707,422,414,548,1569,1019,1574,1698,1017,993,1174,3071,3390,3763,4308,5214,3346,1354,1553,2895,2594,2218,1977,1857,1193,790,1023,849,1052,956,966,1436,935,812,1020,718,1553,1068,1597,1847,1096,2268,2179,1771,2418,1721,2138,1469,1721,1821,3090,2371,2067,2080,1616,3102,2491,2287,1940,2419,2220,1926,2325,666,920,724,1131,1511,917,1132,1360,2394,2107,2066,1459,2945,2273,1568,1138,1486,2062,1166,1414,2425,1504,2979,1925,1414,2199,1264,2041,2258,2373,581,1138,1359,1093,1381,942,1415,2976,2906,2655,487,471,628,676,294,499,1295,1321,1047,1414,1194,1138,1304,3008,2805,2889,3725,5629,2392,1311,1590,2413,1903,2598,2258,2253,1522,1087,724,988,1116,997,1050,1346,635,1427,1338,1415,1834,1474,1077,1985,1355,2115,2802,2179,2942,1847,2031,1317,1589,7547.3,2668.5,4676.7,1700.6,3767.7,1707.6,449.1,6941.6,2563.9,4279.8,1491.1,4012.1,1204.1,336.9
sub-01000057V01,2740,2112,3702,2068,2233,3471,2918,3888,2860,3487,3387,3950,2128,3656,1672,1222,1651,1989,2940,1003,2307,2014,4657,2861,2465,1684,2715,3052,2082,1629,2282,2509,1590,1799,2917,1991,3498,3044,2937,964,2344,4094,3148,4059,913,809,2179,1951,1510,965,2369,3485,2838,3607,586,601,707,697,747,685,1194,1097,1667,2114,1658,2098,1303,3466,4124,5184,4856,5296,4966,1531,2766,3183,2859,2549,3042,2455,1550,973,1034,1043,1075,1236,1162,1490,1817,1323,1373,1249,2056,1396,2282,2153,1461,2764,2489,2720,3075,2909,2743,1730,2620,2836,3648,3651,2213,2701,2597,4654,4369,4169,3173,4042,3791,2674,3576,1376,1558,1443,1527,2487,1459,2163,2059,3623,2378,3146,2317,3152,2295,1549,1462,2426,2361,1161,1626,2754,1938,3653,2123,2102,3680,1732,4250,1437,3113,821,1105,2059,1683,1488,1208,1949,3773,2944,3670,686,634,548,839,315,539,1258,1170,1369,1730,2122,2355,1527,2847,3462,4751,4130,4741,3429,2238,1787,3714,3042,2562,2758,1955,1674,1341,741,955,1284,1244,1624,1583,779,1878,1432,1283,2197,2530,1710,2293,1822,2829,2783,2093,2125,2426,3463,1849,2580,8274.7,2914.2,5046.9,1874.0,4737.3,2087.7,434.8,7967.7,2893.7,5020.8,1735.1,5275.8,1921.4,631.2
sub-01000072V01,2238,1701,3029,2220,2106,2505,3233,3124,2067,3236,2700,2512,2355,3132,1106,747,1199,1254,2036,882,1788,1782,4354,2585,2143,1610,1973,2746,1949,1605,1615,2268,1408,1925,2818,1539,2574,2253,2553,913,1876,3847,1828,4394,553,691,1612,1693,1108,1101,2323,3600,2494,2678,651,686,659,449,572,449,1412,1106,1539,1720,1355,1475,1008,4191,3189,3366,3882,4682,3812,1581,2270,2887,2925,2309,2438,2894,1393,792,885,967,1019,1153,1093,1589,937,1096,1082,1168,1678,910,2018,2065,1856,3098,2448,2442,2623,2789,3038,1947,2172,2049,3167,2935,1737,1814,2113,3910,2967,2807,2293,3170,2546,2373,2973,1589,1280,992,1411,1806,1427,1569,2050,3273,1686,3387,2359,3112,2237,1716,1110,1735,2130,1100,1412,2441,1667,3211,2234,1847,2942,1279,2892,2501,3043,555,1204,1918,981,1694,1688,1748,4216,2791,2895,519,633,630,743,231,411,1295,1562,1028,1433,1642,1441,1295,3096,2694,2693,2961,5568,2432,1587,2048,2380,2776,3444,2652,2874,1788,1061,811,1073,1247,1080,1385,1929,676,1477,1425,1207,2087,1532,1522,2291,2128,2863,2479,2932,2892,2404,3414,1709,1655,6864.5,3247.8,4931.0,1824.5,3958.4,1451.6,409.6,6631.1,3315.0,5059.1,1693.4,3708.6,1321.7,594.9
