, ,A8m_R,A8dl_R,A9l_R,A6dl_R,A6m_R,A9m_R,A10m_R,46d_R,IFJ_R,A46_R,46v_R,A8vl_R,A6vl_R,A10l_R,A44d_R,IFS_R,A45c_R,A45r_R,A44op_R,A44v_R,A14m_R,47o_R,A11l_R,A11m_R,A13_R,47l_R,A4hf_R,A6cdl_R,A4ul_R,A4t_R,A4tl_R,A6cvl_R,3ll_R,A4ll_R,A38m_R,42_R,TE1.2_R,A22c_R,A38l_R,A22r_R,A21c_R,A21r_R,A37dl_R,aSTS_R,A20iv_R,A37elv_R,A20r_R,A20il_R,A37vl_R,A20cl_R,A20cv_R,A20rv_R,A37mv_R,A37lv_R,36r_R,36c_R,TL_R,34_R,TI_R,TH_R,rpSTS_R,cpSTS_R,A7r_R,A7c_R,A5l_R,A7pc_R,A7ip_R,A39c_R,A39rd_R,A40rd_R,A40c_R,A39rv_R,A40rv_R,A7m_R,A5m_R,dmPOS_R,A31_R,3ulhf_R,3tonIa_R,A2_R,3tru_R,G_R,vIa_R,dIa_R,vIg_R,dIg_R,dId_R,A23d_R,A24rv_R,A32p_R,A23v_R,A24cd_R,A23c_R,A32sg_R,cLinG_R,rCunG_R,cCunG_R,rLinG_R,vmPOS_R,mOccG_R,MT+_R,OPC_R,iOccG_R,msOccG_R,lsOccG_R,A8m_L,A8dl_L,A9l_L,A6dl_L,A6m_L,A9m_L,A10m_L,46d_L,IFJ_L,A46_L,46v_L,A8vl_L,A6vl_L,A10l_L,A44d_L,IFS_L,A45c_L,A45r_L,A44op_L,A44v_L,A14m_L,47o_L,A11l_L,A11m_L,A13_L,47l_L,A4hf_L,A6cdl_L,A4ul_L,A4t_L,A4tl_L,A6cvl_L,3ll_L,A4ll_L,A38m_L,42_L,TE1.2_L,A22c_L,A38l_L,A22r_L,A21c_L,A21r_L,A37dl_L,aSTS_L,A20iv_L,A37elv_L,A20r_L,A20il_L,A37vl_L,A20cl_L,A20cv_L,A20rv_L,A37mv_L,A37lv_L,36r_L,36c_L,TL_L,34_L,TI_L,TH_L,rpSTS_L,cpSTS_L,A7r_L,A7c_L,A5l_L,A7pc_L,A7ip_L,A39c_L,A39rd_L,A40rd_L,A40c_L,A39rv_L,A40rv_L,A7m_L,A5m_L,dmPOS_L,A31_L,3ulhf_L,3tonIa_L,A2_L,3tru_L,G_L,vIa_L,dIa_L,vIg_L,dIg_L,dId_L,A23d_L,A24rv_L,A32p_L,A23v_L,A24cd_L,A23c_L,A32sg_L,cLinG_L,rCunG_L,cCunG_L,rLinG_L,vmPOS_L,mOccG_L,MT+_L,OPC_L,iOccG_L,msOccG_L,lsOccG_L,A23v_R.1,A24rv_R.1,A13_R.1,A23c_R.1,A23d_R.1,A24rv_L.1
0,sub-HC002,2608,1017,2251,1510,2738,2961,3378,2386,1467,2636,4093,1478,1149,2682,1678,2202,2413,2399,3707,885,2751,2379,4326,2747,4766,2295,1349,1468,1375,1144,2236,1122,1418,1807,3861,1155,2641,2591,2787,868,2527,4114,2569,4577,615,685,1772,1611,1194,995,2322,4995,3156,2633,722,712,576,526,574,485,1468,1192,1422,2320,454,1525,706,4504,4220,2767,2804,4845,3106,1988,2868,2044,3063,1876,1863,1487,1556,927,1016,1175,1083,1137,1049,1284,1690,1302,1378,992,2068,1079,1173,988,991,2793,1567,2951,4352,3963,3874,2131,2664,1631,1857,1959,1521,1742,2362,5439,3044,1753,2728,5842,1927,1052,2929,1670,2833,1642,1966,2753,1775,2166,1820,3686,2795,5909,2120,1765,771,626,434,2166,1062,429,707,3820,2017,3636,2615,2310,2943,1891,3601,2772,3126,1016,1135,3180,3325,2511,2183,3038,5401,3124,3910,589,831,682,1348,336,680,1533,1598,907,1079,910,631,961,2888,2903,2624,3175,5617,2538,1526,1946,2387,2824,1766,1810,1311,1028,1255,986,1015,1180,1248,1377,1905,842,1486,1569,1358,1865,1815,2305,2102,1559,3875,2948,2830,3027,3393,3444,1871,1908,,,,,,
1,sub-HC001,2427,1628,2043,1757,2156,2985,3634,3806,2327,3976,5503,2874,1763,3231,1491,1271,2091,2827,3839,1133,2630,2334,5005,2538,3915,2855,2099,1652,1496,1050,2703,1006,1364,1809,3541,1636,2966,2654,2973,823,2990,4076,3314,4842,855,575,2117,1726,995,1505,1820,4266,3150,3876,490,883,789,623,561,675,1630,1125,1244,1179,511,908,865,3893,2302,2347,4485,4880,3314,1102,1242,4145,1888,2340,2449,1859,1656,713,1013,1095,1129,1310,1143,1033,1198,1236,1561,1081,1587,1107,1965,2403,1499,3489,3901,2462,2733,2748,3052,2007,2334,1724,1617,1459,840,1765,1702,3226,2348,3604,2455,3710,1810,1276,3500,998,1358,1326,1574,1979,1451,2579,2306,3882,2633,5460,2407,2889,1631,1264,839,2635,2048,1216,1440,3614,2044,3448,2502,2016,2910,1747,3808,1686,3346,548,620,1953,1485,1908,1684,1565,4077,4267,3858,618,794,817,1221,360,581,1885,2045,1445,1780,1820,1502,1960,3171,2620,3496,3897,5536,3187,1799,1754,3701,2533,2582,3290,2114,1754,1139,1134,904,1131,1336,1413,1614,1402,1814,2004,1084,2281,1764,1594,2869,1903,3326,4104,3200,2846,3021,4010,2048,1635,4.0,,,,,
2,sub-HC003,2191,2042,2572,1825,2223,2329,2655,2631,1700,2192,1759,2237,1647,2930,783,853,1356,1313,2168,913,1986,1489,4462,2597,3593,1580,2425,2324,1847,1285,2009,2209,1417,2075,3256,1506,2632,2701,2614,876,2479,4280,2759,4064,1273,577,1873,1872,891,918,2707,5004,3265,4054,641,901,787,786,708,618,1368,968,1599,2122,1053,1038,941,3975,3383,3506,4395,5322,4248,1525,1421,3059,2808,2525,2500,1964,1842,1003,1014,997,1229,1162,1159,1277,1592,1306,1679,606,1752,926,2433,2275,2148,3029,2949,2450,3058,2359,2920,2109,1935,2274,1875,2176,2170,2535,2211,3197,2617,2246,2132,2656,1814,1577,2358,594,1259,845,997,1521,807,1410,1658,3606,1910,4579,2301,3291,2115,1895,1062,2081,2249,1313,1741,4089,1648,3647,2119,1952,2776,1516,3464,1796,2680,756,1299,2155,1211,1391,1390,2512,5685,3764,3630,754,916,753,1286,299,464,1048,1104,1344,1539,1129,1087,1102,3254,3344,2743,3979,4911,2535,1464,2120,2564,2481,3309,2599,3110,2290,1074,851,930,1202,1014,1373,1466,623,1075,1494,1087,2144,1568,1444,2689,2266,2715,2959,2207,2560,2862,2783,1764,1996,,,,,,
3,sub-HC004,3495,2264,2927,2417,3141,3582,2887,3274,2333,2688,3369,3410,2638,2870,1932,938,1790,1914,2848,913,2149,1995,5280,2085,4683,2393,2611,2962,2065,1835,2169,2727,1925,2114,4277,1952,3295,2901,3214,1115,3893,4241,4033,5862,874,709,1856,1834,1148,1137,2533,5719,3916,3598,841,1184,669,675,1461,874,1645,1436,1750,1654,1934,1826,1228,6478,4340,5350,5903,4067,3657,1514,2293,4903,3910,2776,2624,2318,2363,1161,1576,1506,1901,1265,1055,1892,1964,1263,2142,870,2277,1150,1976,2339,1793,3410,2924,4008,3262,3944,4452,2956,3161,2412,3387,3294,2420,2808,2465,3962,4344,3232,3350,3621,2867,2339,2678,826,1275,972,1479,2015,1367,2492,1928,3843,2410,6068,2176,4294,2542,2123,1701,2330,3032,1504,2017,3938,2126,3914,2550,2948,3153,1519,2887,2505,3192,870,462,2357,1583,1945,1664,1899,5218,4798,4591,1376,716,881,1008,799,708,1309,3522,1373,1966,1681,1325,1158,5186,4147,5588,4983,7448,5237,1872,2616,3807,3245,3054,3768,1862,1774,1487,1396,1392,1471,1558,1752,2261,2003,1741,2611,1556,2412,2535,1220,2714,2140,3233,3262,3845,3371,3108,5411,2467,3163,3.0,,,,,
4,sub-HC005,2661,2031,2033,3676,2852,3275,2599,2257,1585,2528,2038,2098,1287,2409,608,654,861,1351,2019,653,1973,1440,3396,1740,3098,1911,2956,3834,2345,2018,1970,2405,2280,2474,4258,1379,2883,2734,3514,1072,3059,4334,3631,4385,764,1130,1963,2049,1333,1532,2223,5245,4516,4560,522,990,877,705,885,804,1408,1197,1701,2012,984,1384,989,5019,3790,6062,6228,5565,4244,1912,2547,4669,3294,3314,2877,2606,1477,1108,1386,1048,1419,1321,1077,1695,1310,565,1823,1180,2632,586,2263,2309,1979,3965,3670,3051,3791,3942,4633,2264,2313,2772,3590,2063,2322,3438,3305,4178,3271,2052,2127,3261,1984,1496,2086,1080,1223,993,1669,2171,1338,1526,1745,2946,2037,3877,2572,3583,2180,1963,1642,2030,2500,1502,1938,4000,1562,3585,2203,2315,3557,2046,3201,3062,2956,861,1394,2701,2220,1216,2652,2945,5744,3893,3850,750,988,1027,1071,304,705,1292,1389,1613,1864,1914,1866,1215,4840,2974,3369,3690,6439,2228,2630,2237,3857,2974,2991,2912,2191,2374,1214,1145,1090,1616,1411,1691,1940,877,1275,2200,1676,2390,1375,2064,2444,2201,3547,3074,3736,2749,3996,5208,2367,2476,4.0,,,,,
5,sub-HC006,2735,1650,2787,1774,2178,3291,3124,2878,2279,2548,2538,2434,1779,2114,1106,951,1186,1657,1967,684,1971,1637,4088,2066,3426,1826,3056,2631,2105,1738,1690,2325,1662,2346,3473,1226,2402,2123,2497,534,3060,2779,2977,3369,1122,754,2033,1829,1178,1462,2750,5699,3624,5203,918,590,432,994,1084,382,1112,964,1874,2118,1591,1552,1573,5848,3974,4993,5954,5169,4671,2031,2665,4005,3408,3217,2861,3132,1647,1011,1175,876,1284,1113,857,1307,865,616,1498,778,1892,610,1916,2350,1199,3191,3283,3176,3901,3491,4448,1644,2087,2665,2857,3050,2912,2596,2528,3445,2975,3815,2792,3489,2910,2082,3379,881,1041,1126,906,1775,1157,1822,2141,3732,2003,3961,2271,4248,2389,1755,1575,2127,3216,1293,1782,3453,2079,3205,2454,1892,2791,1647,3661,2087,2589,1134,495,2486,1615,1438,1467,2959,5714,4565,5448,769,640,490,1395,447,422,1107,1368,1642,1943,2399,2123,1503,3617,3264,5095,4566,5720,4171,2425,2503,3145,3349,2870,3007,2297,1756,1174,723,998,1184,1297,1271,1743,1009,1619,1694,1466,2372,1873,2119,2413,1897,2882,3296,2771,2659,3227,5412,2131,2068,8.0,,,,,
6,sub-HC007,3021,2093,2328,2227,2811,3461,2962,3132,2419,3118,3274,2712,2325,2913,1392,1090,1487,1157,2214,838,2018,1670,4480,2510,4363,1464,2471,2769,2448,1884,1709,2399,1889,2509,3512,1562,2765,2678,3019,809,2888,3907,3519,4637,952,716,1766,1807,1549,1346,2712,4506,3417,3743,594,767,637,640,1003,611,1651,1193,2064,2191,1517,2045,1213,5044,4180,4643,4150,5943,4233,2177,3157,4397,4136,2781,3186,3110,1682,1025,1111,1155,1285,1236,1235,1943,1462,721,1655,785,2215,990,1740,2873,1597,3550,3257,2559,3143,2849,3802,1699,2013,2236,2671,2884,1849,2423,2347,3671,3305,3484,2673,3388,3190,2179,2212,1075,1616,1327,1490,1963,927,1774,1571,3598,2144,5300,1921,3715,2360,2009,1112,2127,2567,1353,1769,3522,2096,3988,3440,2058,3236,1565,3170,2103,2505,708,913,2505,1395,1373,1177,2287,5186,4242,4459,1062,772,859,979,572,610,1612,1856,1591,1695,1893,2011,1696,3327,4040,4240,4713,7160,3513,2127,2400,3456,3224,3117,3755,2935,1752,1245,1162,920,1238,1210,1510,2236,1752,1783,1658,1525,2906,2053,1782,2394,1959,2595,3128,2441,2229,2642,4225,1961,2369,6.0,,,,,
7,sub-HC008,2107,1277,2635,1822,2037,2569,3031,2367,1594,1996,2958,2805,1957,2629,1435,627,1129,1688,2279,851,2002,1816,4408,2210,4630,2034,2464,3170,2334,1519,1797,2361,1585,2150,3831,1542,2743,2721,2956,1243,3489,4456,3582,4333,922,975,2566,2719,855,1482,2391,3887,3047,4299,826,773,783,727,744,612,1876,1482,2025,1990,1140,1377,1210,4792,4076,4085,7396,5106,4521,2141,2490,4492,2918,3217,2782,2865,1872,918,1034,1380,1159,1278,1093,1640,1288,811,1484,1077,2439,770,2285,2333,1530,3004,2919,2345,2824,2915,2846,2161,3072,2199,2215,2464,1555,2344,2136,2721,2060,1847,1886,2563,1688,1497,1992,1171,931,1019,962,1447,1266,1859,1861,3453,1666,4338,2114,3288,1883,1716,1201,1895,3022,1145,1540,3445,2099,4192,3225,2128,3156,2118,3306,2448,2792,756,1146,3180,1631,1565,1480,2354,5308,3949,3698,792,711,863,887,403,774,1862,2019,1470,1846,2368,1502,2101,3134,4642,3752,5698,6862,3540,2371,1973,3784,2736,2977,3271,2027,1602,1165,713,1014,1192,1350,1481,1866,1133,1429,1786,947,2367,2087,1470,2398,1646,2670,2944,2402,3086,2560,3607,2345,2836,0.0,35.0,,,,
8,sub-HC009,2799,2003,2054,2046,2736,3573,2264,2568,1672,2812,2678,1955,2403,2932,1043,951,1402,1561,2100,971,1552,2004,4078,1755,3831,1880,2181,3164,2083,1928,1759,2499,1663,1866,2800,1655,2727,2421,3024,899,2997,3859,2023,4606,432,456,1632,1453,530,749,1430,3276,3050,3303,466,742,702,514,581,631,1246,987,1528,1327,1083,864,1121,3865,2881,4184,3954,4225,5262,1861,2247,4110,3667,2686,2794,2191,1305,853,1022,1117,958,1039,1048,1717,1518,893,1331,1057,1979,920,1572,2114,1610,3146,2556,2423,2555,2409,2891,1901,2188,2638,2989,2192,1884,3011,2438,4056,3350,2253,2775,2878,2415,1834,2545,1193,1078,968,1091,1927,1250,2014,1545,3531,2096,3972,1933,2964,2044,1962,1142,1597,2033,1312,1806,2997,1805,3268,2343,1767,2729,1332,3117,1799,2487,610,1171,1750,1440,1263,1445,1956,3960,3325,3450,630,848,793,828,153,539,1332,1377,916,1332,1673,942,1020,3622,3765,4324,4116,5739,3748,2287,1919,3344,2861,2531,2714,1976,1441,1092,935,929,1082,1145,1467,2003,972,1834,1603,1600,2197,1417,1553,2114,1545,2981,2803,2244,2132,2355,3208,2255,2307,11.0,,,,,
9,sub-HC010,3410,3014,3496,2082,2312,3146,3181,5074,2404,3874,4907,3024,1764,2444,1450,1390,1735,1956,2719,648,1747,1649,4071,2594,3713,1976,2013,1676,2216,1147,2116,1523,1409,1701,3029,1738,2783,2617,3229,1000,3113,4807,2840,5777,916,743,1993,1882,870,1392,2756,5313,3460,4530,578,775,935,716,966,531,1304,1036,1196,1640,776,1006,825,4766,3500,3009,3340,3220,3272,1685,2074,4294,3022,1227,2250,1321,1733,1045,1323,1108,1382,1043,1093,1504,1341,1257,1714,1131,2486,1155,1808,2325,1910,3145,3544,3183,3019,2880,3868,1908,3150,2415,3225,2841,2867,2605,2015,3080,3218,2725,2025,3245,2617,1975,2106,1185,1243,1108,1538,1650,1381,1501,1824,2900,2379,4555,2054,3633,2033,2414,1574,1999,2891,1556,1755,4274,1566,3509,1592,2179,2751,2001,3553,1988,3174,955,1234,2210,1398,1511,2010,2961,5557,3776,3523,663,794,730,835,351,521,1232,1186,1355,1697,2304,2087,1561,3484,4056,4018,5393,6208,2826,1830,2247,3443,3267,3192,2893,2631,1950,1314,1202,1001,1422,1106,1489,1945,783,1471,1497,1487,2295,1792,2070,2736,2327,3158,3711,2805,2099,3178,4071,1897,2912,,,,,,
