region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A8m_R,-0.055841299449232724,0.48169747567910726,0.7233455296330051,-0.0496737607147617,0.5314692749878652,0.712868967648394
A8dl_R,-0.058723598560539325,0.45932914642983136,0.7176491096148752,0.01037298040990148,0.8960946489941832,0.9513042719179955
A9l_R,-0.04275554607652896,0.5902137651960878,0.8012598994177191,-0.030991817245670013,0.696335596571985,0.8209430191164454
A6dl_R,-0.03562625568209594,0.653672104718338,0.8319463150960666,-0.052524162500400436,0.5081500761396215,0.698850837153085
A6m_R,-0.1559672926516636,0.048189816490569394,0.33009343069671526,-0.14878084768583252,0.059618419823790125,0.3815578868722568
A9m_R,-0.13676062079583978,0.08364560586101225,0.3986513981461009,-0.11400380685817535,0.14987477161640883,0.48654998321848664
A10m_R,-0.041533670527341436,0.600888878783082,0.810697048322431,-0.015926364313176275,0.8410731160801613,0.9235312647154713
46d_R,-0.09154834029160552,0.24809277325031945,0.6176794308512025,-0.068812511932233,0.38574573505592047,0.6469605138993932
IFJ_R,-0.18058945543033275,0.021879670158263413,0.23823457696050757,-0.16580733109608928,0.03554988278264325,0.306275913204311
A46_R,-0.0267831658160752,0.7359263329475615,0.871569402176679,-0.0009294765538476612,0.9906634936548173,0.9939263164167532
46v_R,0.018557505389313337,0.8152538088925162,0.9219805142610618,0.027549325443567033,0.7286635323182288,0.8413434599963053
A8vl_R,-0.10707207439409316,0.17640856019705456,0.5275247051322538,-0.12699752044943213,0.10841261459407639,0.44526975707849237
A6vl_R,-0.10633779499086238,0.17941062920764464,0.5275247051322538,-0.08819532904316087,0.2659133171596193,0.5825447979081074
A10l_R,-0.0036699570622898553,0.9631477743480713,0.9851374495614976,0.000972453479185688,0.9902318152917385,0.9939263164167532
A44d_R,0.01873494422349287,0.813519409551903,0.9219805142610618,0.03890195978933392,0.6241693334263323,0.7557509766891808
IFS_R,0.06854914295828983,0.3875709979533539,0.6782492464183694,0.07874556294192381,0.3207457127591604,0.6160537164027712
A45c_R,0.017326277902440627,0.8273128721717563,0.9219805142610618,0.026341912029614615,0.7401198741513039,0.8501889836404721
A45r_R,0.012371670259542222,0.8762208612154893,0.9430875857800902,0.047545314794160375,0.5492258452005233,0.7167193997297489
A44op_R,0.02403502777451411,0.7621659361715286,0.884586371515142,0.0545375094059064,0.49200518714520186,0.6986550078946445
A44v_R,0.12398069695846985,0.11713040287249624,0.43011820071211737,0.1108822834031514,0.1614241948016253,0.5127632492875553
A14m_R,-0.0017642901967607437,0.9822789102862111,0.995964261512533,-0.016461531706360753,0.8358068473689221,0.9222696246829485
47o_R,-0.11851471531045145,0.13430268698779674,0.4700594044572886,-0.11479693450090098,0.14704222752251292,0.48437439654474845
A11l_R,-0.09996665863481484,0.20705161425700397,0.5521376380186772,-0.10641274347893044,0.17910249259821293,0.5278810308157854
A11m_R,-0.011573925122150752,0.8841446116688346,0.9430875857800902,-0.01982183858015694,0.8029154750292945,0.9083488202351615
A13_R,-0.0012060070355617185,0.9878859576288901,0.995964261512533,0.029488717089507382,0.7103879017245814,0.828785885345345
47l_R,-0.07886651272028607,0.320000680167942,0.6287732662949036,-0.0725118478625702,0.36066053191318476,0.631831090149324
A4hf_R,-0.1799835667282563,0.022334491590047585,0.23823457696050757,-0.15844255255575307,0.044702338676778815,0.3337774621199485
A6cdl_R,-0.124733730059622,0.11490490055538564,0.42897829540677307,-0.1319773368043589,0.09514423034279211,0.4424147486206128
