region,cohen_d,pvalue-s,fdr-pvalue-s
A8m_R,0.14626108987723427,0.07929753242088909,0.26913101912544174
A8dl_R,0.13519144712626974,0.10474727911972155,0.3088186291289441
A9l_R,0.13230342269951786,0.11235922067011786,0.3107217954334124
A6dl_R,0.24314352162094188,0.0036055323570705683,0.034438906671467456
A6m_R,0.28784482587348764,0.0005791750144236052,0.008649013548725838
A9m_R,-0.05893107441940199,0.4790893886957007,0.6583805096186317
A10m_R,-0.19657791971928432,0.018468227131702063,0.09843735917400319
46d_R,0.08097624989514676,0.3308726813092687,0.5790271922912203
IFJ_R,0.04441629691156077,0.5936939076621134,0.7599282018075051
A46_R,0.023361409636541732,0.7790012945887035,0.8899720796087202
46v_R,-0.047277922717589474,0.5701344686893477,0.7382087918289819
A8vl_R,0.12037093387779148,0.148531426047474,0.3656158179630129
A6vl_R,0.14445612792720997,0.08306468737399735,0.27770880554888666
A10l_R,-0.19586329499798782,0.018896457341438112,0.09843735917400319
A44d_R,-0.022960389199341028,0.7826986592987405,0.8899720796087202
IFS_R,-0.07793043427371832,0.349370991248519,0.5840231495497631
A45c_R,-0.07237073019011221,0.38479791676221264,0.5944464369292112
A45r_R,-0.06659030675020057,0.423878159575531,0.6086455624674292
A44op_R,-0.09881720716632073,0.23547672781512516,0.4729224259835944
A44v_R,0.014118917635601929,0.8653231593420283,0.9428877311283543
A14m_R,-0.10492258296098991,0.20782214043602587,0.4391713156383943
47o_R,-0.09673263584136509,0.2454916327463938,0.4729224259835944
A11l_R,-0.04055636647640749,0.6261606186336577,0.7924292574798832
A11m_R,-0.17661609323730815,0.03419573563454745,0.1546828868484197
A13_R,0.007037932986443325,0.9326245914314251,0.976205179816071
47l_R,-0.011784321638082766,0.8874288255972264,0.9458221841966648
A4hf_R,0.23334877747491248,0.005201945689420472,0.046609433377207424
A6cdl_R,0.33762127944732495,5.5999156436771066e-05,0.00156797638022959
A4ul_R,0.18708129680689733,0.024913200839092698,0.126830840635381
A4t_R,0.409951631216423,1.0759411467016934e-06,0.00012050540843058967
A4tl_R,0.08213927792816773,0.3239799139182499,0.5714291395093541
A6cvl_R,-0.01100850041682269,0.8947952250081614,0.9458221841966648
3ll_R,0.2293847530041056,0.0060128714384895966,0.05180320008544883
A4ll_R,0.2907231111751231,0.000510356520759679,0.008649013548725838
A38m_R,0.0542280013882394,0.5148503993077013,0.6989484208783338
42_R,0.03857289227854894,0.643136536129379,0.8047531573440945
TE1.2_R,0.18013366506094342,0.03078994243468589,0.14368639802853417
A22c_R,0.08437095024171795,0.3110182429644732,0.5618394066455
A38l_R,-0.032581106355072664,0.6955331158706781,0.8288068373338245
A22r_R,-0.09428484859958611,0.25762923178741215,0.48494914218806995
A21c_R,-0.0674579374403509,0.41786809847121,0.607050091821546
A21r_R,0.050296344956866156,0.5457789904825032,0.7277053206433376
A37dl_R,-0.12898185598140566,0.12164727403901185,0.3205763457028077
aSTS_R,-0.027835935785536215,0.7381041762632994,0.8583590683543066
A20iv_R,0.08904470951725377,0.28499866982173855,0.5232762462300774
A37elv_R,-0.060751993373828105,0.4656175684156725,0.6459509762161412
A20r_R,0.04800364331597555,0.564231492150185,0.7348131060560548
A20il_R,0.15721295648068676,0.059320864929008225,0.2269129275602542
A37vl_R,-0.038016165398124656,0.6479356524532223,0.8047531573440945
A20cl_R,-0.09235309229298616,0.2674981593306594,0.49520320405014634
A20cv_R,0.021525884060517326,0.7959644155029688,0.8965831891403668
A20rv_R,0.12152153034487469,0.14469602972244036,0.36073474184561327
A37mv_R,0.048530167305178354,0.5599673171545739,0.7348131060560548
A37lv_R,0.06952694471631954,0.4037407823591822,0.6062068728506297
36r_R,-0.03082772473172053,0.7111600897733432,0.8384203163643625
36c_R,0.2140916460384968,0.010319456541907891,0.0691545000474544
TL_R,0.19681314138907782,0.018329147912016678,0.09843735917400319
34_R,0.03266256170386348,0.6948102267678884,0.8288068373338245
TI_R,0.09657038511825579,0.24628351023854517,0.4729224259835944
TH_R,0.171039868034796,0.04025488175461199,0.1701338398685488
rpSTS_R,-0.023769150901227547,0.7752470980478345,0.8899720796087202
cpSTS_R,-0.06160942178845466,0.459347815024045,0.6430869410336629
A7r_R,0.16041397449231126,0.054343173865624476,0.22132492628908879
A7c_R,0.2222292137109901,0.0077705014748178,0.05553302694003279
A5l_R,0.09730441151370134,0.24271531259088802,0.4729224259835944
A7pc_R,0.10510094793730633,0.20705132624927025,0.4391713156383943
A7ip_R,0.27044037184458525,0.00121676075260397,0.014344968872804698
A39c_R,-0.07285985862306862,0.38159554631251524,0.5944464369292112
A39rd_R,0.13640330944557802,0.1016779947429561,0.3083793305525621
A40rd_R,0.09235510568796508,0.2674877395162024,0.49520320405014634
A40c_R,0.03257292494838765,0.6956057384766028,0.8288068373338245
A39rv_R,-0.03200585322632857,0.7006461618688755,0.8303954511038525
A40rv_R,0.141967175660649,0.08849647083305702,0.287292890820359
A7m_R,0.43492009592473524,2.3647619457565518e-07,5.2970667584946765e-05
A5m_R,0.21129321096024384,0.011354842153476444,0.07267098978224924
dmPOS_R,0.15261833215493686,0.0671235845110411,0.24251101500763234
A31_R,0.27946914641222176,0.000831873284985627,0.011646225989798779
3ulhf_R,0.14359201820161527,0.0849189543980244,0.27973302625231566
3tonIa_R,0.11028610215845878,0.18554435838074057,0.4156193627728589
A2_R,0.17564026173313144,0.03519591665789005,0.1546828868484197
3tru_R,0.013798587406818734,0.8683504365285408,0.9428877311283543
G_R,-0.0184114081746809,0.824965309682657,0.9190616240098545
vIa_R,0.06499378076758022,0.43506874797194717,0.614332735069304
dIa_R,0.14015808558186812,0.09262190202875172,0.2963900864920055
vIg_R,0.22438792905708665,0.0071969744210595024,0.05553302694003279
dIg_R,0.11794763008642442,0.15686323056529677,0.37782111447985456
dId_R,0.09609042956233586,0.24863647143773088,0.4729224259835944
A23d_R,0.14867202480163239,0.07448410974736963,0.256683701283243
A24rv_R,-0.0752548845840514,0.36615294264681,0.5944464369292112
A32p_R,-0.06714109814883866,0.42005698318008766,0.607050091821546
A23v_R,0.033741564773949115,0.6852608980369774,0.8288068373338245
A24cd_R,0.15631696014957147,0.06078024845363951,0.2269129275602542
A23c_R,0.17486961235197462,0.03600338665386664,0.1550915117397332
A32sg_R,-0.12375106407865016,0.1374811935743463,0.35397456736383415
cLinG_R,0.07447431389630921,0.3711424102039831,0.5944464369292112
rCunG_R,0.021466152759573247,0.7965181010666651,0.8965831891403668
cCunG_R,0.0002152070214797514,0.9979373259584683,0.9979373259584683
rLinG_R,0.16874899984585057,0.04299658806078697,0.17835621714104224
vmPOS_R,-0.05294654327809543,0.5248298835238888,0.7082041801768137
mOccG_R,0.10953764328691673,0.18854226485439027,0.41815314185528135
MT+_R,0.002203867561080642,0.9788792521413343,0.9876979841426076
OPC_R,0.0025715423142899014,0.9753566870172639,0.9876979841426076
iOccG_R,0.05536775690185589,0.5060582035385948,0.6912014487356417
msOccG_R,0.07602538283061064,0.361269206456892,0.5944464369292112
lsOccG_R,0.06606227604078543,0.427560496327991,0.6100226189647769
A8m_L,0.18194950646236838,0.029149014121919233,0.1389229609214874
A8dl_L,0.18232573824194395,0.028818622479444184,0.1389229609214874
A9l_L,0.07429914376022723,0.37226789517272985,0.5944464369292112
A6dl_L,0.20137885350783932,0.015805814357103307,0.08891010151650511
