,0
A8m_R,-0.3685060713586498
A8dl_R,-0.18233923293670887
A9l_R,-0.07573432821097048
A6dl_R,-0.26882735725738394
A6m_R,-0.47643456521940936
A9m_R,-0.20271952999156118
A10m_R,-0.008910839434599192
46d_R,-0.10292913690295359
IFJ_R,-0.2665912517721519
A46_R,0.032752900734177255
46v_R,-0.00851670992405062
A8vl_R,-0.273703189628692
A6vl_R,-0.4062430912531646
A10l_R,0.20544927951898737
A44d_R,-0.057208876848101275
IFS_R,-0.05604548200421941
A45c_R,-0.11735438266244723
A45r_R,-0.11303545757805906
A44op_R,-0.1533479268227848
A44v_R,-0.16869517033755274
A14m_R,-0.09053468022784811
47o_R,-0.21440430193248944
A11l_R,-0.38011081597890295
A11m_R,0.035679343303797434
A13_R,-0.2953477571054852
47l_R,-0.3229243489240506
A4hf_R,-0.6106252427510548
A6cdl_R,-0.5058687031603376
A4ul_R,-0.5445437271308017
A4t_R,-0.5567948396075949
A4tl_R,-0.5105704977046414
A6cvl_R,-0.3713723557510549
3ll_R,-0.49951570131223627
A4ll_R,-0.6422681992194093
A38m_R,-0.42403354045147673
42_R,-0.4224480407299578
TE1.2_R,-0.5095589746624473
A22c_R,-0.5166107939451476
A38l_R,-0.3364421669578058
A22r_R,-0.06447099271729959
A21c_R,-0.19078344140084388
A21r_R,-0.3939350987004219
A37dl_R,-0.09256106788607597
aSTS_R,-0.221209403371308
A20iv_R,-0.2409096642067511
A37elv_R,-0.06390454413080168
A20r_R,-0.2727826855864979
A20il_R,-0.3547076187383966
A37vl_R,-0.23799299755696202
A20cl_R,-0.015629508109704617
A20cv_R,-0.24860986041350214
A20rv_R,-0.29742747460337554
A37mv_R,-0.32533798878902953
A37lv_R,-0.4050562658818565
36r_R,-0.26897781129535864
36c_R,-0.38837472697046416
TL_R,-0.18821097852742613
34_R,-0.18230626051476795
TI_R,-0.15015860320253163
TH_R,-0.2730948324978903
rpSTS_R,-0.044680104654008464
cpSTS_R,-0.1972532073755274
A7r_R,-0.2643652587679325
A7c_R,-0.37301648190295356
A5l_R,-0.16999216112236287
A7pc_R,-0.32635446073839663
A7ip_R,-0.25587838393670886
A39c_R,-0.20996444335864978
A39rd_R,-0.39649071165822786
A40rd_R,-0.4047527792658228
A40c_R,-0.38899737262869194
A39rv_R,-0.3186588707172996
A40rv_R,-0.498404146535865
A7m_R,-0.47556444326160346
A5m_R,-0.5087096088016877
dmPOS_R,-0.5438412395358649
A31_R,-0.5430151881097046
3ulhf_R,-0.4416671175611813
3tonIa_R,-0.5807193809240506
A2_R,-0.35101711214345993
3tru_R,-0.20966238229113923
G_R,-0.27773243131223624
vIa_R,-0.44780956275105493
dIa_R,-0.2999396741814346
vIg_R,-0.48861037467088614
dIg_R,-0.43882925845569626
dId_R,-0.4509816196877637
A23d_R,-0.4184461899367089
A24rv_R,-0.11971211771308014
A32p_R,0.02052272435443037
A23v_R,-0.24036832889451473
A24cd_R,-0.26904547315611815
A23c_R,-0.4111733905907173
A32sg_R,0.0023262716877637236
cLinG_R,-0.2405481309915612
rCunG_R,-0.3147926613881857
cCunG_R,-0.2830029470337553
rLinG_R,-0.3814764006582278
vmPOS_R,-0.22768006348101266
mOccG_R,-0.33054081757383963
MT+_R,-0.2849495177046413
OPC_R,-0.36816104801687755
iOccG_R,-0.2513817063122363
msOccG_R,-0.5054617521687763
lsOccG_R,-0.4178340059198313
A8m_L,-0.4962712872194093
A8dl_L,-0.20731651467088613
A9l_L,-0.10682768264135015
A6dl_L,-0.37956338404641354
A6m_L,-0.7069508585738397
A9m_L,-0.30583617009282704
A10m_L,-0.05389941591561183
46d_L,-0.045983625101265836
IFJ_L,-0.2839434453375527
A46_L,-0.05480024240084396
46v_L,-0.08220437996202533
A8vl_L,-0.09328201202109708
A6vl_L,-0.23505862443459913
A10l_L,0.012398389156118158
A44d_L,-0.15350564778902956
IFS_L,-0.18044499773839665
A45c_L,-0.0946057544894515
A45r_L,-0.26066584279746835
A44op_L,-0.18810662869620254
A44v_L,-0.23513439645569617
A14m_L,0.00500678490717301
47o_L,-0.2990071344303798
A11l_L,-0.540007148772152
A11m_L,0.20567259433333332
A13_L,-0.41004895764978905
47l_L,-0.31042417161181435
A4hf_L,-0.6034636179789029
A6cdl_L,-0.42931565490295365
A4ul_L,-0.6016398402151899
A4t_L,-0.5572916764303796
A4tl_L,-0.3498496816708861
A6cvl_L,-0.42532769261181436
3ll_L,-0.5061213032447258
A4ll_L,-0.7095389029409283
A38m_L,-0.29348748378481015
42_L,-0.36963603108016874
TE1.2_L,-0.4142892679578059
A22c_L,-0.48635549483966245
A38l_L,-0.3131702101265823
A22r_L,-0.22818772077637128
A21c_L,-0.15821128040506327
A21r_L,-0.15575959892827004
A37dl_L,-0.2338613604810127
aSTS_L,-0.3810849515316455
A20iv_L,-0.23355343960337557
A37elv_L,-0.024528995097046414
A20r_L,-0.12227626167932489
A20il_L,-0.0560555144135021
A37vl_L,-0.16813589902953585
A20cl_L,0.005102154215189895
A20cv_L,-0.29908506090295356
A20rv_L,-0.33543359946413503
A37mv_L,-0.34906471283122364
A37lv_L,-0.27154045000843885
36r_L,-0.2611234686708861
36c_L,-0.33489527646835443
TL_L,-0.3529209044852321
34_L,-0.25781863683544304
TI_L,0.048053691050632945
TH_L,-0.21315724647257384
rpSTS_L,-0.2903983391772152
cpSTS_L,-0.23544510331645568
A7r_L,-0.23309206846413505
A7c_L,-0.3883144574261604
A5l_L,-0.2112425590801688
A7pc_L,-0.39752997524050643
A7ip_L,-0.4022583965991562
A39c_L,-0.40351623867510544
A39rd_L,-0.39021358720253163
A40rd_L,-0.32012786233755275
A40c_L,-0.33634272448945146
A39rv_L,-0.3379101996413502
A40rv_L,-0.28210822911814354
A7m_L,-0.4430321746118143
A5m_L,-0.4164380447848101
dmPOS_L,-0.5213865083037974
A31_L,-0.40559789798312235
3ulhf_L,-0.4638762852025316
3tonIa_L,-0.5279591174472574
A2_L,-0.35419059540084386
3tru_L,-0.4585251549409283
G_L,-0.11974365484810127
vIa_L,-0.513499243464135
dIa_L,-0.24513136002109703
vIg_L,-0.4250476235907173
dIg_L,-0.40954262080590725
dId_L,-0.3820462355738397
A23d_L,-0.4560099840548523
A24rv_L,-0.13289347770042195
A32p_L,-0.11548865727426161
A23v_L,-0.2584299910126582
A24cd_L,-0.17620110823206753
A23c_L,-0.43869592495780596
A32sg_L,-0.24453028113924052
cLinG_L,-0.21020630035021098
rCunG_L,-0.2886531015232067
cCunG_L,-0.1687347441350211
rLinG_L,-0.2395678566877637
vmPOS_L,-0.25928749453586497
mOccG_L,-0.29490263637130804
MT+_L,-0.3209781256540084
OPC_L,-0.4342463776962025
iOccG_L,-0.32084083728270035
msOccG_L,-0.40815750221940933
lsOccG_L,-0.4870365474345991
mAmyg_L,-0.26792172106329115
mAmyg_R,-0.3436940514725738
lAmyg_L,-0.13560705837974682
lAmyg_R,-0.11866972835443039
rHipp_L,-0.1569808650126582
rHipp_R,-0.11929500885654008
cHipp_L,-0.19227580392827004
cHipp_R,-0.07625907227426161
vCa_L,-0.1831115108945148
vCa_R,-0.24800046423628694
GP_L,-0.20626253127848104
GP_R,-0.16579682089873415
NAC_L,-0.350965400299578
NAC_R,-0.2970030357510549
vmPu_L,-0.36098313080590716
vmPu_R,-0.28850544173839665
dCa_L,-0.12777256459493672
dCa_R,-0.11717298375527425
dlPu_L,-0.16697598675527425
dlPu_R,-0.30485861202531644
mPFtha_L,-0.287920125535865
mPFtha_R,-0.3580930585316455
mPMtha_L,-0.3066535891223629
mPMtha_R,-0.4541516704936709
Stha_L,-0.20298042183122367
Stha_R,-0.3073243863122363
rTtha_L,-0.3271376216751055
rTtha_R,-0.34782299360759494
PPtha_L,-0.24195377425316458
PPtha_R,-0.11902839884810126
Otha_L,-0.07141714667510551
Otha_R,-0.06114020841772152
cTtha_L,-0.14910417581012658
cTtha_R,-0.21042871066244725
lPFtha_L,-0.26312711840084385
lPFtha_R,-0.3407823122616034
