,0
17Networks_RH_VisCent_ExStr_1,-0.3944560201339286
17Networks_RH_VisCent_ExStr_2,-0.36806831202232143
17Networks_RH_VisCent_ExStr_3,-0.4375614686116071
17Networks_RH_VisCent_ExStr_4,-0.2795304350625
17Networks_RH_VisCent_ExStr_5,-0.346267437
17Networks_RH_VisCent_ExStr_6,-0.34025170849107145
17Networks_RH_VisCent_Striate_1,-0.3625386838482143
17Networks_RH_VisCent_ExStr_7,-0.3488742475580357
17Networks_RH_VisCent_ExStr_8,-0.3492861406875
17Networks_RH_VisCent_ExStr_9,-0.34935452212500007
17Networks_RH_VisCent_ExStr_10,-0.32273358011160713
17Networks_RH_VisCent_ExStr_11,-0.40561662737053567
17Networks_RH_VisPeri_ExStrInf_1,-0.4650706890535714
17Networks_RH_VisPeri_ExStrInf_2,-0.08916874281696427
17Networks_RH_VisPeri_ExStrInf_3,-0.29904492421428575
17Networks_RH_VisPeri_ExStrInf_4,-0.3361467889866071
17Networks_RH_VisPeri_ExStrInf_5,-0.27273961341517855
17Networks_RH_VisPeri_StriCal_1,-0.27172108618749996
17Networks_RH_VisPeri_StriCal_2,-0.22963585876339285
17Networks_RH_VisPeri_ExStrSup_1,-0.3709515117678572
17Networks_RH_VisPeri_ExStrSup_2,-0.3475011092008929
17Networks_RH_VisPeri_ExStrSup_3,-0.37762560535714285
17Networks_RH_VisPeri_ExStrSup_4,-0.4432366635178572
17Networks_RH_SomMotA_1,-0.28818452569196434
17Networks_RH_SomMotA_2,-0.31755395336160713
17Networks_RH_SomMotA_3,-0.39865244788392856
17Networks_RH_SomMotA_4,-0.29344014914732147
17Networks_RH_SomMotA_5,-0.41649734653125
17Networks_RH_SomMotA_6,-0.2612653816651786
17Networks_RH_SomMotA_7,-0.34136738562499996
17Networks_RH_SomMotA_8,-0.2128136496830357
17Networks_RH_SomMotA_9,-0.17516181293750002
17Networks_RH_SomMotA_10,-0.21359560509821435
17Networks_RH_SomMotA_11,-0.46271379104910715
17Networks_RH_SomMotA_12,-0.2418255679955357
17Networks_RH_SomMotA_13,-0.3013216240357143
17Networks_RH_SomMotA_14,-0.2912851452366071
17Networks_RH_SomMotA_15,-0.043937327558035706
17Networks_RH_SomMotA_16,-0.1604383682008929
17Networks_RH_SomMotA_17,-0.24483031682142858
17Networks_RH_SomMotA_18,-0.4146718839196429
17Networks_RH_SomMotA_19,-0.326997745875
17Networks_RH_SomMotA_20,-0.22523007462053565
17Networks_RH_SomMotB_Aud_1,-0.48980069912499996
17Networks_RH_SomMotB_Aud_2,-0.38709857659374997
17Networks_RH_SomMotB_Ins_1,-0.41284007781696425
17Networks_RH_SomMotB_S2_1,-0.4232044128660714
17Networks_RH_SomMotB_S2_2,-0.32632610429910713
17Networks_RH_SomMotB_Aud_3,-0.3947305048214286
17Networks_RH_SomMotB_S2_3,-0.45572942225892854
17Networks_RH_SomMotB_S2_4,-0.3823548381830357
