,0
A8m_R,-0.6163547609729729
A8dl_R,-0.3162875526216216
A9l_R,-0.312508518981982
A6dl_R,-0.35659603157207204
A6m_R,-0.5811963580945946
A9m_R,-0.5088018374234234
A10m_R,-0.15781088877927923
46d_R,-0.3429303660540541
IFJ_R,-0.38329038252702696
A46_R,-0.14854229936486488
46v_R,-0.28334512268918916
A8vl_R,-0.5547143016801802
A6vl_R,-0.4279248347702703
A10l_R,-0.023034967238738678
A44d_R,-0.3364409674504505
IFS_R,-0.26834633799999996
A45c_R,-0.41018907421621625
A45r_R,-0.257002300481982
A44op_R,-0.3996052120990991
A44v_R,-0.31912747833783783
A14m_R,-0.30383144073423424
47o_R,-0.41370367669819824
A11l_R,-0.5912709965315316
A11m_R,-0.0004952212027026496
A13_R,-0.5550973863918918
47l_R,-0.5052830557837837
A4hf_R,-0.5417973106351351
A6cdl_R,-0.4050693123198198
A4ul_R,-0.4085262947432432
A4t_R,-0.49461786881981984
A4tl_R,-0.6106553184954955
A6cvl_R,-0.24899509593693686
3ll_R,-0.488220385536036
A4ll_R,-0.5952773945810812
A38m_R,-0.6216885461666667
42_R,-0.47532637296846847
TE1.2_R,-0.6391603555360361
A22c_R,-0.673418626954955
A38l_R,-0.5220805103918918
A22r_R,-0.2101563692792793
A21c_R,-0.5423792423198199
A21r_R,-0.538261058936937
A37dl_R,-0.4058647311711711
aSTS_R,-0.48408536586936946
A20iv_R,-0.4749182545675676
A37elv_R,-0.42899341327477475
A20r_R,-0.49706653052702704
A20il_R,-0.48502658875675675
A37vl_R,-0.4388667612117118
A20cl_R,-0.42602612906756754
A20cv_R,-0.46464675013513507
A20rv_R,-0.5469760091441441
A37mv_R,-0.5693179842207208
A37lv_R,-0.6947598922342342
36r_R,-0.4833344657027028
36c_R,-0.5010595177072071
TL_R,-0.28995286348198196
34_R,-0.3689673770810811
TI_R,-0.44781276718468466
TH_R,-0.21251595037837837
rpSTS_R,-0.3170580023468469
cpSTS_R,-0.36783856318468466
A7r_R,-0.3258282722117117
A7c_R,-0.48311900252702694
A5l_R,-0.18474741872072067
A7pc_R,-0.3433069699549549
A7ip_R,-0.2631584220585585
A39c_R,-0.4887413776801802
A39rd_R,-0.5427103317972972
A40rd_R,-0.4688009661981983
A40c_R,-0.5025423188108108
A39rv_R,-0.44718364557657664
A40rv_R,-0.5160015087792793
A7m_R,-0.5505951981261261
A5m_R,-0.6191557264009009
dmPOS_R,-0.7070409940315315
A31_R,-0.7293769739909911
3ulhf_R,-0.4195717476846847
3tonIa_R,-0.6840111771306306
A2_R,-0.372711255036036
3tru_R,-0.3166845840225224
G_R,-0.43104950166216216
vIa_R,-0.6056852760765766
dIa_R,-0.458797910490991
vIg_R,-0.6157670232252251
dIg_R,-0.6047744286531531
dId_R,-0.5509382997207207
A23d_R,-0.5470090746846847
A24rv_R,-0.34735705869819816
A32p_R,-0.17208552505405408
A23v_R,-0.4314793628918919
A24cd_R,-0.42121375566666663
A23c_R,-0.6113371618018018
A32sg_R,-0.19136561936036037
cLinG_R,-0.5301044399414414
rCunG_R,-0.46250305893693694
cCunG_R,-0.39733122400900894
rLinG_R,-0.5444153881081082
vmPOS_R,-0.3807842097477478
mOccG_R,-0.5430559935315316
MT+_R,-0.6135441430630632
OPC_R,-0.6168489713693693
iOccG_R,-0.5765922119864865
msOccG_R,-0.6108972138243244
lsOccG_R,-0.5126895733063063
A8m_L,-0.6689975002432432
A8dl_L,-0.4009478138243244
A9l_L,-0.3076425473828829
A6dl_L,-0.4792788748468468
A6m_L,-0.7480052278513513
A9m_L,-0.5695315357837838
A10m_L,-0.3657670029054054
46d_L,-0.3083345127387388
IFJ_L,-0.44663756124324333
A46_L,-0.27251136752702704
46v_L,-0.3517217855225224
A8vl_L,-0.36827346336036043
A6vl_L,-0.41548662186036045
A10l_L,-0.20158160049549553
A44d_L,-0.24542522036936937
IFS_L,-0.2537066055405406
A45c_L,-0.2844895845135135
A45r_L,-0.2969263247927928
A44op_L,-0.3065715638153153
A44v_L,-0.30992543719369364
A14m_L,-0.3094216618063063
47o_L,-0.5278882364864864
A11l_L,-0.667584602072072
A11m_L,-0.059302666072072074
A13_L,-0.6487857552477477
47l_L,-0.5034701681351351
A4hf_L,-0.6995947214414414
A6cdl_L,-0.46067250032432444
A4ul_L,-0.5421614582882883
A4t_L,-0.609128615472973
A4tl_L,-0.5053909097612612
A6cvl_L,-0.5243019521036036
3ll_L,-0.5011776247747748
A4ll_L,-0.6577140246126127
A38m_L,-0.49906687380180176
42_L,-0.44741214458108114
TE1.2_L,-0.5930455893468468
A22c_L,-0.6415104283468469
A38l_L,-0.662746457990991
A22r_L,-0.4795716767072072
A21c_L,-0.3859611891261261
A21r_L,-0.45488757483783776
A37dl_L,-0.40946846276126125
aSTS_L,-0.6904662220810812
A20iv_L,-0.3934347517477478
A37elv_L,-0.26108831049099096
A20r_L,-0.4427153107837838
A20il_L,-0.2864335838288288
A37vl_L,-0.37519472790090086
A20cl_L,-0.2594058762657657
A20cv_L,-0.4966255933783783
A20rv_L,-0.5611755983468468
A37mv_L,-0.5905297032477477
A37lv_L,-0.5347244985945947
36r_L,-0.3662478033828829
36c_L,-0.5374925111756756
TL_L,-0.3323749386891892
34_L,-0.5330695468468469
TI_L,-0.11785163735585587
TH_L,-0.37389254306756753
rpSTS_L,-0.3984362411396397
cpSTS_L,-0.5205656202657658
A7r_L,-0.3552353897387388
A7c_L,-0.4969936262072072
A5l_L,-0.2909863248423423
A7pc_L,-0.4203738259189189
A7ip_L,-0.357289084
A39c_L,-0.5825306311936936
A39rd_L,-0.47492122488738736
A40rd_L,-0.454249346954955
A40c_L,-0.49740050746396397
A39rv_L,-0.5541069686036036
A40rv_L,-0.4511350629054054
A7m_L,-0.5500528302792793
A5m_L,-0.62304240409009
dmPOS_L,-0.6432240303063064
A31_L,-0.731500306972973
3ulhf_L,-0.5267881018558559
3tonIa_L,-0.7056828787342343
A2_L,-0.41039977070270267
3tru_L,-0.5265069268423423
G_L,-0.3466609242522522
vIa_L,-0.6633494850990991
dIa_L,-0.5147916098783784
vIg_L,-0.5950528559909909
dIg_L,-0.6293233434324323
dId_L,-0.5325013435360361
A23d_L,-0.7304431508333333
A24rv_L,-0.2647320305900901
A32p_L,-0.28068939411711713
A23v_L,-0.5700262623468468
A24cd_L,-0.3414843943063063
A23c_L,-0.624096777945946
A32sg_L,-0.4217370072927928
cLinG_L,-0.3136634735675676
rCunG_L,-0.47869999051351353
cCunG_L,-0.43520080833333336
rLinG_L,-0.422637700481982
vmPOS_L,-0.3933475551441441
mOccG_L,-0.46584475312612617
MT+_L,-0.5092751205135134
OPC_L,-0.6127324428423424
iOccG_L,-0.5913763919504506
msOccG_L,-0.6252868857927928
lsOccG_L,-0.5841401306216216
Left-Thalamus-Proper,-0.4306715839414414
Left-Caudate,-0.40005302007657656
Left-Putamen,-0.5460268783153153
Left-Pallidum,-0.5357957962882883
Left-Hippocampus,-0.44169201891441445
Left-Amygdala,-0.6252394649954955
Left-Accumbens-area,-0.3532830409324324
Right-Thalamus-Proper,-0.5544067538333334
Right-Caudate,-0.4391597918243243
Right-Putamen,-0.5800650673153154
Right-Pallidum,-0.592076672545045
Right-Hippocampus,-0.4629166151486486
Right-Amygdala,-0.5823399491126126
